기준년월,시군구,평균소득월액
2025-01,서울특별시종로구,1552768
2025-01,서울특별시중구,1596658
2025-01,서울특별시용산구,1607447
2025-01,서울특별시성동구,1630735
2025-01,서울특별시광진구,1476164
2025-01,서울특별시동대문구,1494435
2025-01,서울특별시중랑구,1406852
2025-01,서울특별시성북구,1480965
2025-01,서울특별시강북구,1375189
2025-01,서울특별시도봉구,1408277
2025-01,서울특별시노원구,1440606
2025-01,서울특별시은평구,1429761
2025-01,서울특별시서대문구,1458030
2025-01,서울특별시마포구,1521805
2025-01,서울특별시양천구,1539642
2025-01,서울특별시강서구,1456437
2025-01,서울특별시구로구,1490097
2025-01,서울특별시금천구,1422349
2025-01,서울특별시영등포구,1576060
2025-01,서울특별시동작구,1508529
2025-01,서울특별시관악구,1360742
2025-01,서울특별시서초구,1772074
2025-01,서울특별시강남구,1797935
2025-01,서울특별시송파구,1595292
2025-01,서울특별시강동구,1494606
2025-01,부산광역시중구,1316581
2025-01,부산광역시서구,1389223
2025-01,부산광역시동구,1368648
2025-01,부산광역시영도구,1399820
2025-01,부산광역시부산진구,1406533
2025-01,부산광역시동래구,1445903
2025-01,부산광역시남구,1400441
2025-01,부산광역시북구,1391540
2025-01,부산광역시해운대구,1449319
2025-01,부산광역시사하구,1386499
2025-01,부산광역시금정구,1393552
2025-01,부산광역시강서구,1514819
2025-01,부산광역시연제구,1403913
2025-01,부산광역시수영구,1384161
2025-01,부산광역시사상구,1426237
2025-01,부산광역시기장군,1381960
2025-01,대구광역시중구,1451695
2025-01,대구광역시동구,1406984
2025-01,대구광역시서구,1372514
2025-01,대구광역시남구,1365991
2025-01,대구광역시북구,1454530
2025-01,대구광역시수성구,1499094
2025-01,대구광역시달서구,1456618
2025-01,대구광역시달성군,1422142
2025-01,대구광역시군위군,1376184
2025-01,인천광역시중구,1484527
2025-01,인천광역시동구,1406601
2025-01,인천광역시미추홀구,1414068
2025-01,인천광역시연수구,1578856
2025-01,인천광역시남동구,1419612
2025-01,인천광역시부평구,1434687
2025-01,인천광역시계양구,1414841
2025-01,인천광역시서구,1496455
2025-01,인천광역시강화군,1498188
2025-01,인천광역시옹진군,1672823
2025-01,광주광역시동구,1351133
2025-01,광주광역시서구,1387286
2025-01,광주광역시남구,1357579
2025-01,광주광역시북구,1355126
2025-01,광주광역시광산구,1387348
2025-01,대전광역시동구,1400044
2025-01,대전광역시중구,1430890
2025-01,대전광역시서구,1414563
2025-01,대전광역시유성구,1468688
2025-01,대전광역시대덕구,1414126
2025-01,울산광역시중구,1360440
2025-01,울산광역시남구,1446034
2025-01,울산광역시동구,1309156
2025-01,울산광역시북구,1384701
2025-01,울산광역시울주군,1439134
2025-01,세종특별자치시,1489767
2025-01,경기도수원시,1456432
2025-01,경기도성남시,1518779
2025-01,경기도의정부시,1399987
2025-01,경기도안양시,1489555
2025-01,경기도부천시,1459990
2025-01,경기도광명시,1529303
2025-01,경기도평택시,1455502
2025-01,경기도동두천시,1397913
2025-01,경기도안산시,1451210
2025-01,경기도고양시,1505004
2025-01,경기도과천시,1636577
2025-01,경기도구리시,1510565
2025-01,경기도남양주시,1512916
2025-01,경기도오산시,1469903
2025-01,경기도시흥시,1540153
2025-01,경기도군포시,1474955
2025-01,경기도의왕시,1535258
2025-01,경기도하남시,1559196
2025-01,경기도용인시,1548833
2025-01,경기도파주시,1473903
2025-01,경기도이천시,1509922
2025-01,경기도안성시,1453928
