자치구,CCTV수,총범죄,인구수,평균소득,유흥주점수,가로등수
강남구,7007.0,13526.0,563215.0,1797935.0,168.0,12582
강동구,3191.0,6796.0,481474.0,1494606.0,99.0,6251
강북구,2858.0,4994.0,289374.0,1375189.0,69.0,3623
강서구,3210.0,8592.0,562194.0,1456437.0,126.0,8909
관악구,5366.0,9538.0,495620.0,1360742.0,194.0,7287
광진구,4091.0,6848.0,348652.0,1476164.0,10.0,5822
구로구,4050.0,7474.0,411916.0,1490097.0,32.0,6681
금천구,2725.0,4480.0,239070.0,1422349.0,44.0,4627
노원구,2655.0,7134.0,496552.0,1440606.0,20.0,8067
도봉구,1598.0,3842.0,306032.0,1408277.0,21.0,4263
동대문구,2857.0,5914.0,358603.0,1494435.0,51.0,5995
동작구,2650.0,5284.0,387352.0,1508529.0,41.0,5003
마포구,2450.0,7668.0,372745.0,1521805.0,42.0,7593
서대문구,3223.0,4770.0,318622.0,1458030.0,28.0,3230
서초구,5060.0,9044.0,413076.0,1772074.0,37.0,13580
성동구,4036.0,4046.0,281289.0,1630735.0,20.0,6696
성북구,3943.0,4822.0,435037.0,1480965.0,8.0,8346
송파구,3094.0,10446.0,656310.0,1595292.0,88.0,11270
양천구,3845.0,6038.0,434351.0,1539642.0,3.0,9315
영등포구,2899.0,8836.0,397173.0,1576060.0,130.0,9615
용산구,1078.0,6042.0,217194.0,1607447.0,21.0,7612
은평구,4111.0,6986.0,465350.0,1429761.0,76.0,307
종로구,1930.0,5962.0,149608.0,1552768.0,187.0,9324
중구,2336.0,6696.0,131214.0,1596658.0,205.0,6600
중랑구,3471.0,6648.0,385349.0,1406852.0,17.0,7409
