자치구,위도,경도,,,
중랑구,37.5781,127.0836,,,
중랑구,37.5781,127.0843,,,
중랑구,37.5781,127.0843,,,
중랑구,37.5777,127.0842,,,
중랑구,37.5785,127.0837,,,
중랑구,37.5743,127.0869,,,
중랑구,37.5745,127.0876,,,
중랑구,37.5743,127.0869,,,
중랑구,37.5709,127.0868,,,
중랑구,37.5709,127.0868,,,
중랑구,37.5709,127.0868,,,
중랑구,37.5743,127.0869,,,
중랑구,37.5718,127.0872,,,
중랑구,37.5718,127.0872,,,
중랑구,37.5718,127.0878,,,
중랑구,37.5718,127.0872,,,
중랑구,37.5718,127.0878,,,
중랑구,37.5709,127.0868,,,
중랑구,37.5743,127.0869,,,
중랑구,37.5718,127.0878,,,
중랑구,37.5895,127.0987,,,
중랑구,37.581,127.0903,,,
중랑구,37.5888,127.0987,,,
중랑구,37.5828,127.0867,,,
중랑구,37.5839,127.0905,,,
중랑구,37.584,127.0901,,,
중랑구,37.5838,127.0924,,,
중랑구,37.5717,127.0863,,,
중랑구,37.5827,127.088,,,
중랑구,37.5879,127.0987,,,
중랑구,37.5819,127.0944,,,
중랑구,37.5876,127.0989,,,
중랑구,37.5717,127.0863,,,
중랑구,37.5738,127.087,,,
중랑구,37.5757,127.087,,,
중랑구,37.5893,127.1012,,,
중랑구,37.5813,127.0841,,,
중랑구,37.5813,127.0841,,,
중랑구,37.5812,127.0853,,,
중랑구,37.5813,127.0841,,,
중랑구,37.6142,127.0892,,,
중랑구,37.5757,127.087,,,
중랑구,37.5821,127.0848,,,
중랑구,37.5812,127.0853,,,
중랑구,37.5812,127.0853,,,
중랑구,37.5876,127.0989,,,
중랑구,37.5809,127.0878,,,
중랑구,37.5821,127.0848,,,
중랑구,37.6138,127.0886,,,
중랑구,37.5809,127.0878,,,
중랑구,37.5821,127.0848,,,
중랑구,37.606,127.0942,,,
중랑구,37.5818,127.0867,,,
중랑구,37.5821,127.0848,,,
중랑구,37.5879,127.0987,,,
중랑구,37.612,127.0931,,,
중랑구,37.6138,127.0886,,,
중랑구,37.5809,127.0878,,,
중랑구,37.5824,127.0855,,,
중랑구,37.5823,127.0862,,,
중랑구,37.5824,127.0855,,,
중랑구,37.5818,127.0867,,,
중랑구,37.5828,127.0867,,,
중랑구,37.5824,127.0855,,,
중랑구,37.612,127.0931,,,
중랑구,37.5824,127.0855,,,
중랑구,37.5818,127.0867,,,
중랑구,37.5825,127.0843,,,
중랑구,37.5825,127.0843,,,
중랑구,37.5825,127.0843,,,
중랑구,37.5828,127.0867,,,
중랑구,37.5828,127.0867,,,
중랑구,37.613,127.0888,,,
중랑구,37.5818,127.0867,,,
중랑구,37.589,127.1025,,,
중랑구,37.5832,127.0935,,,
중랑구,37.5834,127.0877,,,
중랑구,37.5835,127.0871,,,
